User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,Latitude,Longitude
1,6,-58.89039016,30.66912985,12302.43077,13600.44123,74.74790787,-37.29899224,-13.08440157
2,6,-68.32986996,24.0907676,10999.40836,12501.58248,75.18760323,71.71320308,172.8804655
3,6,-48.66478853,42.79512349,13499.64117,14798.80724,75.6034716,-76.53377713,39.55222037
4,6,-55.35515249,35.15139101,12601.85733,13899.29982,73.48882044,55.7472584,-175.754866
5,6,-41.00356017,49.14314685,14199.12812,15499.01939,74.57749207,34.0852801,4.700085756
6,6,-67.10593044,24.05914424,11199.63669,12800.71242,75.00328884,5.511451044,-101.4571191
7,6,-80.05230815,29.36842837,10999.99381,12500.79305,79.89893239,57.63508126,-120.4317644
8,6,-69.43846771,26.19766009,10201.33485,12600.24922,79.91312439,61.16811053,-113.6353787
9,6,-57.73038759,31.52226858,12400.10074,13699.69415,75.35543847,5.028064026,-91.06371446
10,6,-55.10061435,36.13934298,12700.49444,14001.29196,74.66366374,37.83162685,-141.0978025
11,6,-66.57751323,25.22125412,11498.68923,12801.4134,74.31043477,-47.29051696,-163.080003
12,6,-45.87519317,43.89283602,13602.26011,14901.1522,75.65661947,-37.95084965,-140.9264723
13,6,-62.43186728,26.97217931,11799.75929,13099.5643,74.17587655,88.61839129,133.3875296
14,6,-66.2106336,25.18906073,11199.92641,12800.01276,72.14031203,-29.56408127,-131.4905034
15,6,-80.16470191,30.53875615,10501.82136,12298.12226,69.57296861,17.31758605,81.17910994
16,6,-69.2434197,26.87265462,10899.79788,12398.60293,74.40164007,-12.89274516,-65.86482902
17,6,-81.98157887,27.34691933,10800.74573,12002.08851,70.77690759,-23.38362452,104.9225504
18,6,-45.71116323,44.28953355,13699.78481,15001.06135,74.23923969,24.74943158,-27.56206736
19,6,-43.59340277,48.49824445,14099.92085,15401.14151,74.30717366,77.83420447,76.05644003
20,6,-54.49951267,34.55457001,12699.51788,14000.78824,75.49355766,-55.11599169,142.6734752
21,6,-66.50167079,24.17076445,11198.24626,12800.79242,75.63029648,20.45037579,-58.87227387
22,6,-65.27304674,24.15353138,11502.52081,12801.01814,73.76761389,18.63909586,-85.78730935
23,6,-52.33562182,39.51286735,13200.81613,14500.04596,74.71856988,-29.59595219,59.29843751
24,6,-82.01694532,28.45765807,10702.23797,12198.83272,68.5187408,70.25778722,-171.3936628
25,6,-82.7811513,29.60687032,10299.62438,12101.45073,68.57807545,-34.8817578,64.55720899
26,6,-75.69635153,31.63159047,11997.75088,13999.25209,68.30632496,37.44324479,-13.83701738
27,6,-46.07248379,42.24516941,13499.59248,14799.59101,74.18737524,-78.99982351,178.5746848
28,6,-61.53690452,28.07361553,11800.7098,13101.63995,75.74715259,59.82969022,106.3358857
29,6,-84.5996985,28.46520488,10801.21228,12001.73845,69.3653475,83.6088099,-140.2333565
30,6,-68.30095145,23.90616755,11199.94433,12500.87715,74.11057927,-20.86874329,154.2813047
31,6,-65.69439983,23.46510099,11398.93497,12701.40217,75.39042061,-59.70853305,62.69454157
32,6,-39.96345736,55.23327081,14499.9653,15800.52185,73.72037682,32.63911086,106.2795698
33,6,-80.56705117,30.54856784,11000.21054,12499.35364,80.34650175,87.50371663,-61.81285793
34,6,-53.11840643,37.48974394,13000.51726,14300.41368,74.69899487,-57.84408574,104.5794884
35,6,-52.53229479,36.29390613,12901.44388,14200.49852,75.44295626,87.26283053,-41.88636449
36,6,-53.81391201,36.94064802,12897.6133,14200.10134,76.22217056,83.52222116,-144.1161286
37,6,-77.03849524,31.36148944,11999.85687,14000.95626,69.77581017,-75.88579594,-175.4903308
38,6,-66.57321556,23.47634618,11399.58582,12699.82829,73.73591666,-28.40307535,-136.5476656
39,6,-55.9955963,36.14720208,12700.83594,14000.24982,75.28740365,1.250039077,53.13441869
40,6,-66.38215525,24.02421074,11199.76002,12800.90689,75.91011056,19.60793408,-54.3483568
41,6,-67.80556262,23.84845575,10999.38948,12500.49962,73.29611459,72.78673734,-119.3847205
42,6,-75.8885116,30.93256051,10200.21204,12200.02824,74.63205543,-23.2298591,-139.2993508
43,6,-75.34930813,28.66371969,9999.389433,14998.97043,70.52469426,-75.97486974,13.53219542
44,6,-68.08070195,22.8787124,11201.47284,12799.55926,74.37662776,-24.67898241,96.06137757
45,6,-73.44645673,27.1922569,10499.76744,12499.87747,76.33515034,-9.375616075,-16.06748431
46,6,-47.46836628,41.63145522,13399.80826,14699.95021,75.81967992,45.00308418,28.49045024
47,6,-58.01735327,31.06909952,12399.86578,13699.65838,75.83259361,29.29493998,105.4366258
48,6,-54.28210748,35.19208338,12900.99397,14199.87234,73.50887114,30.72517891,110.7785837
49,6,-44.31313851,47.03464388,13900.04508,15199.62429,74.23625311,4.565066202,98.72145286
50,6,-65.58080224,23.19044877,11499.74448,12799.39301,74.30620065,14.50191418,110.5731503
